title,price,available_quantity,image,description
Fried rice and chicken,598,35,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Home Office
Ofada stew with white rice,528,42,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Consumer
Ofada stew with ofada rice,18.97,46,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Consumer
White beans and stew,65.99,47,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Consumer
Stir fry,4.82,7,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Bread,125.99,36,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Consumer
Bread and egg,5.78,5,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Consumer
Bread and egg,140.98,32,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Home Office
Bread and egg,122.99,44,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Bread and egg,5.43,32,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Bread and egg,28.48,44,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Bread and egg,363.25,34,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Bread and egg,2.88,1,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Rice and stew,49.99,50,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Small Business
Jollof rice,19.99,29,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Small Business
Yam and beans,40.98,25,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Small Business
Yam and eggs,10.64,46,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Small Business
Meat,2.78,15,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Consumer
Chicken,5.98,20,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Home Office
Chicken pie,23.99,14,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Home Office
Pistachios,65.99,48,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Almonds,499.99,8,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Apple,100.98,15,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Pear,51.65,30,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Consumer
Grapes,28.53,6,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Consumer
Peanut butter and Bread,1200,25,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Burger,1200,4,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Eba and efo riro,3600,26,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Amala and ewedu,1200,46,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Small Business
startch and okra soup,1200,23,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Beans and bread,3600,25,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Salad,3600,5,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Coleslaw,1200,12,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Sphagetti,1200,24,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Noodles,3600,34,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Yourghurt,1200,44,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Eggs,3600,28,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Plantain and beans,1200,40,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Small Business
Pottage,1200,46,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Consumer
Yam pottage,1200,19,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Home Office
Unripe plantain pottage,1200,20,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Consumer
Pickles,1200,40,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Small Business
Pizza,1200,49,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Pie,1200,47,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Fish pepper soup,1200,44,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Meat pepper soup,1200,6,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Consumer
Chicken pepper soup,1200,30,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Small Business
Mpin Moin,1200,23,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Small Business
Akara and oats,1200,37,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Home Office
Fried rice and chicken,1200,1,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Ofada stew with white rice,3600,42,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Ofada stew with ofada rice,1200,34,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
White beans and stew,1200,15,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Stir fry,1200,48,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Bread,1200,27,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Bread and egg,3600,42,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Home Office
Bread and egg,1200,39,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Home Office
Bread and egg,1200,35,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Corporate
Bread and egg,5000,50,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Small Business
Bread and egg,300,18,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Family
Bread and egg,1000,42,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Family
Bread and egg,1500,31,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Family
Rice and stew,2500,36,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Family
Jollof rice,1200,36,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Family
Yam and beans,3200,4,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Family
Yam and eggs,1000,32,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Family
Meat,800,17,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Family
Chicken,900,3,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Family
Chicken pie,725,8,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Family
Pistachios,1000,29,http://zeeliciousfoods.com/wp-content/uploads/2016/11/Beans-and-Plantain-2.jpg,Family
Almonds,2354,19,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Family
Apple,200,9,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Family
Pear,400,10,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Family
Grapes,200,1,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Family
Peanut butter and Bread,499,30,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Family
Burger,45745,8,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Family
Eba and efo riro,34773,47,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Family
Amala and ewedu,4590450,6,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Family
startch and okra soup,4590450,49,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Family
Beans and bread,4590450,6,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Corporate
Salad,4590450,25,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Small Business
Coleslaw,370,20,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Home Office
Sphagetti,370,4,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Corporate
Noodles,370,7,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Corporate
Yourghurt,370,31,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Corporate
Eggs,370,27,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Corporate
Plantain and beans,345,7,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Home Office
Pottage,2550.14,27,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Corporate
Yam pottage,55.48,48,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Home Office
Unripe plantain pottage,28.99,8,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Corporate
Pickles,4.91,41,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Consumer
Pizza,259.71,30,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Consumer
Pie,59.78,15,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Small Business
Fish pepper soup,4.13,49,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Small Business
Meat pepper soup,30.98,9,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Corporate
Chicken pepper soup,7.38,18,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Corporate
Mpin Moin,26.38,21,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Corporate
Akara and oats,2.16,30,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Consumer
Fried rice and chicken,50.98,31,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Home Office
Ofada stew with white rice,2.08,2,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Home Office
Ofada stew with ofada rice,6.48,11,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Home Office
White beans and stew,64.98,49,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Home Office
Stir fry,19.23,31,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Home Office
Bread,300.98,42,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Corporate
Bread and egg,500.98,8,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Corporate
Bread and egg,45.19,33,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Corporate
Bread and egg,11.97,32,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Corporate
Bread and egg,4.55,47,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Corporate
Bread and egg,28.48,31,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Home Office
Bread and egg,4.14,17,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Corporate
Bread and egg,12.53,35,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Corporate
Rice and stew,5.85,21,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Corporate
Jollof rice,280.98,16,https://static.pulse.com.gh/img/incoming/origs6519074/7530488929-w980-h640/Z.jpg,Corporate
Yam and beans,177.98,49,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Corporate
Yam and eggs,50.98,13,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Corporate
Meat,48.04,44,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Consumer
Chicken,261,2,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Consumer
Chicken pie,1599,13,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Corporate
Pistachios,804,16,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Corporate
Almonds,223,27,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Corporate
Apple,12.95,30,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Corporate
Pear,115.99,14,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Corporate
Grapes,65.99,26,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Corporate
Peanut butter and Bread,15.98,28,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Corporate
Burger,140.85,42,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Consumer
Eba and efo riro,4.28,38,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Consumer
Amala and ewedu,56.96,1,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Consumer
startch and okra soup,279.48,27,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Corporate
Beans and bread,165.98,2,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Small Business
Salad,308,13,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Consumer
Coleslaw,128.24,43,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Corporate
Sphagetti,1098,24,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Corporate
Noodles,2989,23,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Consumer
Yourghurt,4048,17,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Corporate
Eggs,3599,41,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Small Business
Plantain and beans,180.98,47,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Small Business
Pottage,150.98,26,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Corporate
Yam pottage,381,6,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Corporate
Unripe plantain pottage,11.5,22,http://sisijemimah.com/wp-content/uploads/2015/12/Ofada-Stew-12-1024x683.jpg,Corporate
